district,price,rooms,bathrooms,size
Centro,225000,1,1,42
Centro,245000,1,80,
Centro,650000,2,2,90
Centro,195700,3,1,50
Centro,575000,2,1,84
Centro,450000,2,2,98
Centro,225000,1,1,30
Centro,1290000,3,3,159
Centro,559000,3,2,108
Centro,174000,1,1,30
Centro,290000,1,1,64
Centro,859000,5,5,166
Centro,859000,5,5,159
Centro,430000,2,2,97
Centro,128000,1,1,31
Centro,425000,4,2,119
Centro,310000,2,1,65
Centro,299900,4,2,111
Centro,245000,1,1,44
Centro,390000,3,1,84
Centro,1050000,3,2,185
Centro,265000,1,1,55
Centro,164000,3,1,37
Centro,525000,3,1,104
Centro,1550000,2,2,122
Centro,1076000,8,6,252
Centro,298798,1,1,63
Arganzuela,289000,1,1,51
Arganzuela,299000,1,1,59
Arganzuela,485000,2,2,82
Arganzuela,295000,3,1,70
Arganzuela,589000,4,2,127
Arganzuela,175000,2,1,44
Arganzuela,450000,4,2,112
Arganzuela,275000,2,2,94
Arganzuela,220000,2,2,64
Arganzuela,170000,1,1,45
Arganzuela,145000,1,1,43
Arganzuela,300000,2,1,68
Arganzuela,269000,3,1,57
Arganzuela,420000,2,1,92
Arganzuela,480000,3,1,118
Arganzuela,550000,3,2,102
Arganzuela,480000,2,2,102
Arganzuela,235000,36,3,
Arganzuela,360000,1,1,61
Arganzuela,259000,1,1,49
Arganzuela,180000,2,1,48
Arganzuela,235000,1,1,59
Arganzuela,295000,3,1,82
Arganzuela,194000,1,1,44
Arganzuela,229000,2,1,44
Arganzuela,219000,1,1,81
Arganzuela,309000,3,1,80
Arganzuela,746000,4,2,118
Arganzuela,360000,3,2,86
Retiro,1300000,4,2,198
Retiro,599000,2,1,86
Retiro,470000,4,2,112
Retiro,350000,3,1,67
Retiro,295000,2,1,73
Retiro,550000,4,2,130
Retiro,365000,3,1,85
Retiro,729000,2,2,120
Retiro,398000,3,1,81
Retiro,250000,2,1,48
Retiro,559000,4,2,98
Retiro,265000,2,1,49
Retiro,485000,3,2,106
Retiro,440000,2,2,105
Retiro,695000,4,2,155
Retiro,460000,3,2,104
Retiro,3125000,5,4,326
Retiro,445000,3,2,81
Retiro,850000,5,4,160
Retiro,599000,3,2,114
Retiro,590000,3,2,136
Retiro,429000,3,2,124
Retiro,575000,3,1,90
Retiro,267000,2,1,51
Retiro,379000,2,1,60
Retiro,500000,2,1,87
Retiro,2650000,4,3,266
Barrio-de-Salamanca,750000,4,3,190
Barrio-de-Salamanca,315000,2,1,47
Barrio-de-Salamanca,495000,2,2,95
Barrio-de-Salamanca,1190000,4,4,330
Barrio-de-Salamanca,428000,2,2,80
Barrio-de-Salamanca,500000,1,56,
Barrio-de-Salamanca,2350000,2,2,177
Barrio-de-Salamanca,520000,2,2,92
Barrio-de-Salamanca,1795000,4,5,199
Barrio-de-Salamanca,888000,2,2,133
Barrio-de-Salamanca,1450000,1,2,147
Barrio-de-Salamanca,359000,3,1,58
Barrio-de-Salamanca,1375000,3,3,266
Barrio-de-Salamanca,795000,3,2,173
Barrio-de-Salamanca,2680000,3,4,288
Barrio-de-Salamanca,335000,2,1,62
Barrio-de-Salamanca,685000,2,2,122
Barrio-de-Salamanca,655000,2,2,80
Barrio-de-Salamanca,650000,2,2,117
Barrio-de-Salamanca,2200000,4,5,290
Barrio-de-Salamanca,370000,2,2,65
Barrio-de-Salamanca,200000,1,1,35
Barrio-de-Salamanca,879000,3,3,125
Barrio-de-Salamanca,487500,1,1,75
Barrio-de-Salamanca,589000,2,2,66
San-Blas,295000,4,2,100
Tetuan,295000,1,1,48
