district,price,rooms,bathrooms,size
Ciudad-Lineal,550000,3,2,156
Ciudad-Lineal,1250000,4,3,213
Ciudad-Lineal,194900,2,1,58
Ciudad-Lineal,195000,2,1,63
Ciudad-Lineal,550000,2,1,93
Ciudad-Lineal,534900,3,2,129
Ciudad-Lineal,259000,3,1,105
Ciudad-Lineal,425000,3,3,88
Ciudad-Lineal,269000,3,1,80
Ciudad-Lineal,625000,4,3,132
Ciudad-Lineal,675000,4,3,171
Ciudad-Lineal,225000,3,1,73
Ciudad-Lineal,350000,3,1,94
Ciudad-Lineal,198000,3,1,74
Ciudad-Lineal,925000,4,3,171
Ciudad-Lineal,140000,2,1,62
Ciudad-Lineal,220000,3,1,69
Ciudad-Lineal,699000,4,3,169
Ciudad-Lineal,730000,3,3,157
Ciudad-Lineal,194000,2,1,75
Ciudad-Lineal,272000,3,1,81
Ciudad-Lineal,220000,3,1,73
Ciudad-Lineal,430000,3,2,80
Ciudad-Lineal,180000,3,1,62
Ciudad-Lineal,209000,2,1,60
Ciudad-Lineal,210000,2,1,57
Ciudad-Lineal,679000,4,2,180
Ciudad-Lineal,160000,3,1,60
Ciudad-Lineal,475000,2,2,80
Hortaleza,400000,98,,
Hortaleza,5000000,10,8,1300
Hortaleza,1390000,5,5,475
Hortaleza,650000,5,3,230
Hortaleza,299000,3,3,78
Hortaleza,490000,3,2,124
Hortaleza,199000,3,1,69
Hortaleza,195000,2,1,60
Hortaleza,915500,3,4,226
Hortaleza,220000,2,1,67
Hortaleza,370000,3,2,119
Hortaleza,465000,3,2,114
Hortaleza,595000,4,2,125
Hortaleza,2250000,5,5,360
Hortaleza,180000,3,1,64
Hortaleza,1550000,6,4,467
Hortaleza,449000,3,2,118
Hortaleza,185000,4,1,77
Hortaleza,375000,2,1,74
Hortaleza,257700,3,2,90
Hortaleza,220000,2,1,59
Hortaleza,1390000,5,3,306
Hortaleza,1690000,5,5,529
San-Blas,367000,3,2,132
San-Blas,310000,3,2,98
San-Blas,395000,2,2,125
San-Blas,235000,2,1,105
San-Blas,179999,3,1,76
San-Blas,154000,2,1,68
San-Blas,175000,3,1,70
San-Blas,270000,2,2,82
San-Blas,705000,3,3,170
San-Blas,140000,3,1,50
San-Blas,384900,4,2,177
San-Blas,150000,1,80,5
San-Blas,650000,2,2,108
San-Blas,375000,3,2,132
San-Blas,225000,2,1,100
San-Blas,220000,1,1,40
San-Blas,99000,2,1,44
San-Blas,195000,3,1,60
San-Blas,320000,4,1,105
San-Blas,229000,1,1,80
San-Blas,169900,1,1,50
San-Blas,189000,2,1,83
San-Blas,370000,3,2,109
San-Blas,179000,3,1,91
San-Blas,98500,3,1,75
Barajas,450000,2,2,100
Barajas,495000,4,3,135
Barajas,985000,5,5,300
Barajas,350000,2,2,131
Barajas,350000,3,2,96
Barajas,470000,3,2,134
Barajas,184000,3,1,59
Barajas,123000,2,1,52
Barajas,890000,5,5,293
Barajas,335000,3,2,97
Barajas,749000,3,2,190
Barajas,245000,2,1,65
Barajas,450000,2,2,107
Barajas,1190000,4,3,335
Barajas,349000,3,2,98
Barajas,290000,3,2,90
Barajas,340000,3,1,84
Barajas,173500,3,1,71
Barajas,399000,2,2,64
Barajas,397000,4,2,124
Barajas,627000,3,2,149
Barajas,554000,4,3,158
Barajas,173500,3,1,71
Barajas,369000,2,2,90
Barajas,690000,5,3,251
Barajas,485000,4,3,160
Barajas,682500,4,3,167
Retiro,675000,2,166,
Moncloa-Aravaca,3400000,6,7,800
Retiro,695000,5,2,165
Barrio-de-Salamanca,889000,3,3,111
Carabanchel,395000,4,2,124
