district,price,rooms,bathrooms,size
Chamartin,650000,2,180,2
Chamartin,230000,1,1,51
Chamartin,749000,2,2,120
Chamartin,790000,4,2,144
Chamartin,1080000,4,3,218
Chamartin,980000,141,1,
Chamartin,329000,2,1,68
Chamartin,795000,3,2,117
Chamartin,1070600,4,2,236
Chamartin,374329,2,1,60
Chamartin,1250000,2,3,130
Chamartin,625000,4,3,164
Chamartin,1250000,4,4,245
Chamartin,2485000,6,4,335
Chamartin,1700000,6,6,562
Chamartin,1800000,6,5,360
Chamartin,2495000,4,4,408
Chamartin,455000,2,2,82
Chamartin,699000,4,2,153
Chamartin,579500,3,2,115
Chamartin,420000,1,1,67
Chamartin,1995000,4,3,243
Chamartin,895000,5,3,201
Chamartin,1350000,5,3,245
Chamartin,600000,3,2,125
Chamartin,349000,1,1,70
Chamartin,349000,1,1,70
Tetuan,290000,3,2,89
Tetuan,235000,1,1,62
Tetuan,250000,1,1,52
Tetuan,940000,4,3,210
Tetuan,109000,2,1,40
Tetuan,275000,2,2,70
Tetuan,653596,4,2,165
Tetuan,215000,3,1,67
Tetuan,189000,1,1,37
Tetuan,78500,2,1,21
Tetuan,479000,4,2,91
Tetuan,875000,5,4,237
Tetuan,875000,5,4,237
Tetuan,279800,3,1,80
Tetuan,550000,3,2,141
Tetuan,649990,4,2,122
Tetuan,375000,4,2,111
Tetuan,788000,5,3,245
Tetuan,1130000,4,3,209
Tetuan,250000,3,1,66
Tetuan,398500,3,2,75
Tetuan,179000,2,1,36
Tetuan,215000,2,1,52
Tetuan,210000,2,1,41
Tetuan,230000,2,1,65
Tetuan,217000,3,1,89
Tetuan,604880,4,2,144
Tetuan,114000,2,1,40
Chamberi,457000,3,1,79
Chamberi,349000,2,2,72
Chamberi,1790000,3,5,243
Chamberi,380000,2,1,80
Chamberi,1375000,4,4,217
Chamberi,1390000,3,3,148
Chamberi,799000,3,3,96
Chamberi,475000,3,1,82
Chamberi,1190000,3,3,160
Chamberi,690000,4,2,125
Chamberi,1095000,3,2,167
Chamberi,1410000,4,2,173
Chamberi,799000,3,3,88
Chamberi,485000,3,1,70
Chamberi,245000,1,1,30
Chamberi,900000,2,2,161
Chamberi,800000,5,2,161
Chamberi,259000,2,2,48
Chamberi,279000,3,1,60
Chamberi,499000,3,2,85
Chamberi,2050000,5,4,400
Chamberi,750000,3,2,105
Chamberi,390000,1,1,47
Chamberi,2500000,7,7,493
Chamberi,669000,3,3,140
Chamberi,499900,3,2,84
Chamberi,539000,4,2,125
Chamberi,840000,4,2,123
Chamberi,500000,1,1,45
Fuencarral-El-Pardo,395000,1,2,87
Fuencarral-El-Pardo,630000,3,3,158
Fuencarral-El-Pardo,599000,3,2,108
Fuencarral-El-Pardo,1199000,4,5,354
Fuencarral-El-Pardo,615000,3,2,144
Fuencarral-El-Pardo,650000,3,2,130
Fuencarral-El-Pardo,485000,3,2,138
Fuencarral-El-Pardo,340000,2,1,75
Fuencarral-El-Pardo,650000,3,2,133
Fuencarral-El-Pardo,298500,3,2,80
Fuencarral-El-Pardo,530000,4,2,145
Fuencarral-El-Pardo,549000,4,2,146
Fuencarral-El-Pardo,2390000,6,5,502
Fuencarral-El-Pardo,870000,4,4,211
Fuencarral-El-Pardo,180000,2,2,78
Fuencarral-El-Pardo,241500,2,1,65
Fuencarral-El-Pardo,485000,3,2,146
Fuencarral-El-Pardo,219900,2,1,54
Fuencarral-El-Pardo,598000,3,2,98
Fuencarral-El-Pardo,840000,4,2,188
Fuencarral-El-Pardo,85000,1,1,37
Fuencarral-El-Pardo,137000,2,1,61
Fuencarral-El-Pardo,900000,6,5,350
Fuencarral-El-Pardo,1200000,4,2,400
Usera,195000,3,1,68
Arganzuela,314900,1,1,77
Usera,134000,2,1,65
Hortaleza,195000,3,1,60
Latina,115000,1,1,47
Carabanchel,180000,2,1,83
Hortaleza,800000,2,2,175
Barajas,330000,2,2,80
Latina,189000,82,4,
