district,price,rooms,bathrooms,size
Moncloa-Aravaca,1300000,7,4,358
Moncloa-Aravaca,1600000,6,7,630
Moncloa-Aravaca,2550000,5,4,333
Moncloa-Aravaca,3473800,7,7,1330
Moncloa-Aravaca,2950000,7,7,963
Moncloa-Aravaca,1650000,733,,
Moncloa-Aravaca,689000,4,2,124
Moncloa-Aravaca,710000,4,2,129
Moncloa-Aravaca,279000,2,1,50
Moncloa-Aravaca,399000,3,1,95
Moncloa-Aravaca,395000,2,1,85
Moncloa-Aravaca,3500000,9,9,2400
Moncloa-Aravaca,319000,1,1,60
Moncloa-Aravaca,850000,5,4,318
Moncloa-Aravaca,250000,3,1,70
Moncloa-Aravaca,530000,3,2,125
Moncloa-Aravaca,2000000,4,4,292
Moncloa-Aravaca,227000,1,1,53
Moncloa-Aravaca,1058000,5,5,225
Moncloa-Aravaca,1090000,5,4,339
Moncloa-Aravaca,886000,6,4,358
Moncloa-Aravaca,227000,1,1,53
Moncloa-Aravaca,650000,4,3,146
Moncloa-Aravaca,795000,5,2,186
Moncloa-Aravaca,270700,1,1,51
Moncloa-Aravaca,296000,2,1,85
Latina,212500,2,1,66
Latina,270000,3,1,95
Latina,179000,2,1,77
Latina,159900,3,1,60
Latina,185000,3,1,90
Latina,180000,2,1,78
Latina,249900,2,1,98
Latina,130000,3,1,69
Latina,169000,3,1,70
Latina,165000,3,1,75
Latina,119000,4,1,82
Latina,295000,4,2,101
Latina,135000,2,1,52
Latina,295000,3,2,88
Latina,290000,3,1,109
Latina,157000,2,1,75
Latina,360000,3,1,75
Latina,142000,3,1,76
Latina,159000,3,1,1
Latina,125000,2,1,57
Latina,148500,2,1,60
Latina,260000,3,1,76
Carabanchel,129900,2,1,75
Carabanchel,269900,4,2,157
Carabanchel,165000,3,1,79
Carabanchel,122000,2,1,55
Carabanchel,141100,2,1,63
Carabanchel,347110,3,2,109
Carabanchel,123350,2,1,63
Carabanchel,390000,3,2,148
Carabanchel,279900,3,1,83
Carabanchel,130000,1,1,54
Carabanchel,187000,2,1,68
Carabanchel,120000,2,1,65
Carabanchel,423000,3,2,116
Carabanchel,158000,2,1,64
Carabanchel,148000,2,1,66
Carabanchel,320000,3,2,95
Carabanchel,255000,4,2,95
Carabanchel,112300,2,43,1
Carabanchel,198000,3,2,80
Carabanchel,290000,3,2,110
Carabanchel,295100,2,2,112
Carabanchel,126600,3,2,82
Carabanchel,139500,2,1,69
Carabanchel,169300,3,1,85
Carabanchel,135000,1,1,47
Carabanchel,159900,3,1,79
Carabanchel,280000,4,2,130
Carabanchel,239000,3,2,109
Carabanchel,199000,3,1,84
Usera,144000,3,1,63
Usera,229900,4,1,119
Usera,180000,3,1,86
Usera,180000,3,2,124
Usera,279900,4,2,164
Usera,144000,3,1,65
Usera,159000,2,1,75
Usera,265000,3,2,139
Usera,185000,3,1,99
Usera,139000,2,1,54
Usera,192000,3,2,81
Usera,185000,3,2,83
Usera,189000,3,2,85
Usera,180000,3,2,85
Usera,280000,3,2,93
Usera,135000,2,1,64
Usera,250000,2,2,95
Usera,129000,3,1,78
Usera,259900,3,2,90
Usera,168700,1,2,70
Usera,209000,4,2,115
Usera,459000,3,2,120
Usera,296000,3,2,111
Usera,233500,3,1,78
Usera,205000,3,2,85
Usera,144900,3,1,78
Usera,195000,2,1,67
Usera,155000,3,1,62
Fuencarral-El-Pardo,398000,2,2,100
Arganzuela,299000,1,1,63
Ciudad-Lineal,105000,1,25,
Latina,285000,2,2,69
Barajas,724900,4,2,167
Barrio-de-Salamanca,895000,3,2,174
Chamartin,1385000,4,3,196
Centro,500000,4,1,101
Vicalvaro,120000,2,1,50
Fuencarral-El-Pardo,497000,3,2,154
