district,price,rooms,bathrooms,size
Puente-de-Vallecas,135000,2,1,65
Puente-de-Vallecas,180400,1,1,57
Puente-de-Vallecas,180400,1,1,57
Puente-de-Vallecas,198500,2,1,79
Puente-de-Vallecas,241800,2,1,78
Puente-de-Vallecas,127000,2,1,60
Puente-de-Vallecas,250000,3,2,100
Puente-de-Vallecas,289990,3,2,114
Puente-de-Vallecas,173950,3,2,105
Puente-de-Vallecas,103000,2,1,35
Puente-de-Vallecas,129000,2,1,62
Puente-de-Vallecas,137000,1,1,35
Puente-de-Vallecas,75000,3,1,78
Puente-de-Vallecas,73000,1,1,26
Puente-de-Vallecas,399000,2,2,84
Puente-de-Vallecas,239000,2,1,52
Puente-de-Vallecas,99000,3,1,68
Puente-de-Vallecas,163000,3,1,96
Puente-de-Vallecas,165000,3,2,101
Puente-de-Vallecas,235000,1,1,49
Moratalaz,175000,2,2,65
Moratalaz,132000,3,1,58
Moratalaz,180000,3,1,75
Moratalaz,265000,3,2,93
Moratalaz,142000,3,1,60
Moratalaz,200000,3,1,74
Moratalaz,176000,3,1,73
Moratalaz,200000,3,1,73
Moratalaz,164900,3,2,73
Moratalaz,350000,5,2,151
Moratalaz,164990,2,1,50
Moratalaz,290000,3,1,90
Moratalaz,450000,3,2,124
Moratalaz,279500,3,2,91
Moratalaz,175000,3,1,74
Moratalaz,145900,3,1,63
Moratalaz,450000,3,2,124
Moratalaz,160000,3,1,61
Moratalaz,259900,3,2,95
Moratalaz,200000,2,2,103
Villaverde,125000,3,1,65
Villaverde,91000,3,1,55
Villaverde,117000,3,1,75
Villaverde,510000,4,3,149
Villaverde,179000,3,2,95
Villaverde,195000,3,2,90
Villaverde,112000,2,1,38
Villaverde,169800,3,1,90
Villaverde,277000,3,2,109
Villaverde,210000,2,1,76
Villaverde,125000,3,1,70
Villaverde,399990,5,2,214
Villaverde,140000,3,1,68
Villaverde,121014,1,1,43
Villaverde,120000,3,1,75
Villaverde,129794,1,1,62
Villaverde,199567,2,1,90
Villaverde,259900,3,2,114
Villaverde,169000,3,2,98
Villaverde,157500,4,2,103
Villaverde,147500,4,2,83
Villaverde,135000,3,1,70
Villa-de-Vallecas,190000,1,1,55
Villa-de-Vallecas,419000,4,2,117
Villa-de-Vallecas,136000,1,1,50
Villa-de-Vallecas,113000,3,1,77
Villa-de-Vallecas,130000,1,1,50
Villa-de-Vallecas,188000,1,1,50
Villa-de-Vallecas,170000,3,1,71
Villa-de-Vallecas,269000,2,2,71
Villa-de-Vallecas,294900,4,2,120
Villa-de-Vallecas,134990,1,58,2
Villa-de-Vallecas,119000,3,1,65
Villa-de-Vallecas,130000,2,1,52
Villa-de-Vallecas,115000,1,1,37
Villa-de-Vallecas,170000,1,1,53
Villa-de-Vallecas,134900,2,1,63
Villa-de-Vallecas,136000,3,1,77
Villa-de-Vallecas,150000,2,1,51
Villa-de-Vallecas,139500,1,1,56
Villa-de-Vallecas,197700,3,1,133
Villa-de-Vallecas,165000,1,1,45
Villa-de-Vallecas,197000,2,1,76
Vicalvaro,210000,2,3,82
Vicalvaro,300000,2,2,75
Vicalvaro,198000,3,2,80
Vicalvaro,359000,2,2,110
Vicalvaro,590000,4,3,305
Vicalvaro,140000,3,1,65
Vicalvaro,189000,1,1,64
Vicalvaro,153000,3,1,70
Vicalvaro,197000,4,1,89
Vicalvaro,177500,3,1,66
Vicalvaro,140000,3,1,65
Vicalvaro,117000,2,1,55
Vicalvaro,490000,3,2,142
Vicalvaro,127260,2,1,56
Vicalvaro,135000,2,1,56
Vicalvaro,347000,3,2,103
Vicalvaro,109000,3,1,56
Vicalvaro,138000,3,1,62
Vicalvaro,212000,1,1,61
Centro,200000,1,1,45
Barajas,300000,4,2,125
Chamartin,990000,5,3,187
San-Blas,440000,4,3,140
Fuencarral-El-Pardo,579900,2,2,108
San-Blas,795000,3,2,450
Centro,520000,1,1,65
Arganzuela,175000,35,4,
Usera,189900,2,2,88
Chamberi,320000,2,1,55
Hortaleza,820000,4,2,166
San-Blas,399000,2,1,100
Arganzuela,535000,4,2,112
Tetuan,238000,3,1,82
Ciudad-Lineal,184990,1,1,58
