district,price,rooms,bathrooms,size
Centro,264000,3,2,76
Centro,200000,1,1,36
Centro,1100000,4,3,163
Centro,380000,1,1,66
Centro,455000,3,2,115
Centro,370000,3,1,86
Centro,570000,3,2,115
Centro,154000,2,1,37
Centro,899000,2,3,109
Centro,829000,3,3,102
Centro,889000,3,3,136
Centro,355000,2,1,65
Centro,196000,1,1,26
Centro,127000,1,1,24
Centro,420000,3,1,98
Centro,199500,1,25,2
Centro,517000,2,1,84
Centro,645000,2,2,120
Centro,250000,1,1,54
Centro,225000,3,1,68
Centro,460000,2,1,85
Centro,445000,1,1,95
Centro,490000,1,1,66
Centro,130000,1,1,30
Centro,640000,3,2,141
Centro,320000,1,48,
Arganzuela,239000,3,1,67
Arganzuela,535000,3,2,92
Arganzuela,660220,3,2,128
Arganzuela,229000,2,1,45
Arganzuela,295000,2,1,50
Arganzuela,339000,3,1,85
Arganzuela,430000,2,2,118
Arganzuela,164000,1,1,35
Arganzuela,239000,1,1,51
Arganzuela,460000,4,2,125
Arganzuela,191000,1,1,53
Arganzuela,247000,3,1,55
Arganzuela,313000,2,1,67
Arganzuela,410000,3,1,117
Arganzuela,438000,2,2,86
Arganzuela,295000,2,1,50
Arganzuela,485000,3,1,126
Arganzuela,289000,3,1,74
Arganzuela,370000,3,1,97
Arganzuela,159000,2,1,30
Arganzuela,219000,1,1,66
Arganzuela,179000,2,1,43
Arganzuela,390000,3,1,101
Arganzuela,415000,3,2,104
Arganzuela,240000,1,1,54
Arganzuela,260000,3,1,64
Arganzuela,179000,1,1,26
Arganzuela,499000,3,2,121
Retiro,895000,2,2,146
Retiro,695000,4,3,221
Retiro,875000,2,2,130
Retiro,630000,3,2,97
Retiro,1495000,2,3,252
Retiro,2695000,6,4,273
Retiro,425000,3,1,93
Retiro,625000,3,2,112
Retiro,850000,5,4,160
Retiro,549000,4,2,141
Retiro,2100000,3,5,214
Retiro,720000,3,2,158
Retiro,625000,4,3,150
Retiro,935000,4,3,201
Retiro,399000,1,1,60
Retiro,315000,2,1,62
Retiro,810000,5,3,191
Retiro,670000,4,2,147
Retiro,1850000,3,3,194
Retiro,374000,3,1,83
Retiro,820000,2,2,89
Retiro,680000,4,2,115
Retiro,430000,3,2,112
Retiro,598000,5,2,145
Retiro,200000,1,1,45
Retiro,405000,3,1,92
Retiro,1650000,5,3,272
Retiro,357000,1,1,72
Barrio-de-Salamanca,1699000,7,4,419
Barrio-de-Salamanca,950000,1,1,111
Barrio-de-Salamanca,730000,2,2,70
Barrio-de-Salamanca,439000,4,2,112
Barrio-de-Salamanca,669000,2,2,98
Barrio-de-Salamanca,2700000,4,5,320
Barrio-de-Salamanca,7500000,5,6,688
Barrio-de-Salamanca,7500000,5,6,745
Barrio-de-Salamanca,450000,3,1,97
Barrio-de-Salamanca,219000,1,1,40
Barrio-de-Salamanca,640000,4,2,113
Barrio-de-Salamanca,352000,2,1,60
Barrio-de-Salamanca,2590000,4,5,319
Barrio-de-Salamanca,1590000,3,3,173
Barrio-de-Salamanca,255000,1,1,39
Barrio-de-Salamanca,1400000,5,4,168
Barrio-de-Salamanca,2375000,4,4,305
Barrio-de-Salamanca,789000,3,3,86
Barrio-de-Salamanca,1295000,3,3,169
Barrio-de-Salamanca,650000,3,2,133
Barrio-de-Salamanca,550000,2,2,72
Barrio-de-Salamanca,1150000,2,2,110
Barrio-de-Salamanca,1590000,3,3,173
Barrio-de-Salamanca,3300000,3,4,348
Barrio-de-Salamanca,355000,1,1,57
Barrio-de-Salamanca,2200000,2,3,225
Barrio-de-Salamanca,845000,2,2,97
Barrio-de-Salamanca,879000,3,3,125
Barrio-de-Salamanca,1300000,2,2,96
Fuencarral-El-Pardo,695000,3,2,175
Villa-de-Vallecas,237999,1,1,97
Usera,154000,3,1,65
San-Blas,269000,4,2,141
Latina,130000,3,1,64
Hortaleza,721400,4,2,159
Vicalvaro,186200,1,1,53
Barajas,589000,3,2,102
Ciudad-Lineal,155000,2,1,47
Moncloa-Aravaca,189900,2,1,48
Latina,180000,3,1,80
Barajas,945000,7,4,333
Chamberi,790000,2,2,102
