district,price,rooms,bathrooms,size
Chamartin,800000,3,2,134
Chamartin,2300000,5,4,256
Chamartin,998000,4,4,282
Chamartin,2100000,4,4,235
Chamartin,1280000,5,3,240
Chamartin,499000,3,2,126
Chamartin,310000,2,1,64
Chamartin,1150000,5,3,185
Chamartin,795000,3,3,144
Chamartin,580000,3,2,132
Chamartin,350000,2,2,75
Chamartin,495000,2,2,65
Chamartin,499000,2,2,126
Chamartin,1890000,3,4,279
Chamartin,890000,4,3,150
Chamartin,349000,1,1,70
Chamartin,680000,1,2,131
Chamartin,2200000,4,2,450
Chamartin,2300000,4,5,333
Chamartin,440000,3,3,84
Chamartin,2950000,5,6,450
Chamartin,1225000,4,3,210
Chamartin,650000,2,2,110
Chamartin,595000,1,1,69
Chamartin,495000,2,1,90
Chamartin,1147000,4,3,280
Chamartin,210000,1,1,59
Chamartin,3300000,5,4,492
Chamartin,750000,4,3,180
Chamartin,2300000,4,4,335
Tetuan,499000,4,2,108
Tetuan,230555,2,2,69
Tetuan,295000,2,1,70
Tetuan,415000,2,1,91
Tetuan,330000,2,1,72
Tetuan,365000,2,1,91
Tetuan,362000,4,2,104
Tetuan,215000,1,1,60
Tetuan,260000,3,2,84
Tetuan,180000,2,1,54
Tetuan,250000,2,2,70
Tetuan,365000,3,1,108
Tetuan,795000,4,2,190
Tetuan,390000,2,2,130
Tetuan,139000,1,1,40
Tetuan,239800,4,2,77
Tetuan,265000,3,1,73
Tetuan,395000,3,2,118
Tetuan,389000,3,2,123
Tetuan,450000,3,1,118
Tetuan,590000,215,1,
Tetuan,320000,3,1,75
Tetuan,452000,2,1,76
Tetuan,69000,1,34,
Tetuan,290000,1,1,67
Tetuan,510000,2,2,124
Tetuan,790000,3,2,181
Tetuan,430000,4,2,105
Tetuan,275000,3,1,93
Chamberi,844000,5,3,194
Chamberi,1995000,5,4,400
Chamberi,220000,2,1,55
Chamberi,630000,3,2,101
Chamberi,309000,2,1,74
Chamberi,1272600,6,3,228
Chamberi,830000,4,2,156
Chamberi,1065000,4,2,215
Chamberi,420000,2,2,65
Chamberi,449000,3,1,87
Chamberi,630000,4,2,131
Chamberi,469000,3,1,82
Chamberi,2050000,3,3,314
Chamberi,2300000,4,4,335
Chamberi,385000,1,1,42
Chamberi,599000,5,2,151
Chamberi,849000,5,3,185
Chamberi,690000,2,2,95
Chamberi,750000,3,2,174
Chamberi,420000,2,3,66
Chamberi,870000,3,3,159
Chamberi,835000,5,3,241
Chamberi,480000,3,1,82
Chamberi,1575000,4,3,218
Chamberi,850000,5,3,194
Chamberi,498000,4,2,90
Chamberi,470000,4,1,89
Chamberi,448000,2,2,75
Fuencarral-El-Pardo,230000,3,1,64
Fuencarral-El-Pardo,520000,3,1,115
Fuencarral-El-Pardo,549999,3,2,163
Fuencarral-El-Pardo,759000,4,3,151
Fuencarral-El-Pardo,855000,4,3,201
Fuencarral-El-Pardo,185000,3,1,60
Fuencarral-El-Pardo,235000,3,2,84
Fuencarral-El-Pardo,605000,3,2,166
Fuencarral-El-Pardo,742000,4,2,160
Fuencarral-El-Pardo,710000,4,3,210
Fuencarral-El-Pardo,395000,1,2,87
Fuencarral-El-Pardo,1190000,3,3,304
Fuencarral-El-Pardo,118500,1,1,38
Fuencarral-El-Pardo,490000,3,2,135
Fuencarral-El-Pardo,1492400,5,6,505
Fuencarral-El-Pardo,874000,5,2,230
Fuencarral-El-Pardo,785000,3,2,126
Fuencarral-El-Pardo,240000,3,1,72
Fuencarral-El-Pardo,180000,2,1,55
Fuencarral-El-Pardo,169000,2,1,60
Fuencarral-El-Pardo,199000,2,1,60
Fuencarral-El-Pardo,199000,2,1,59
Fuencarral-El-Pardo,1264100,7,5,464
Fuencarral-El-Pardo,459000,4,2,138
Fuencarral-El-Pardo,159000,1,30,1
Fuencarral-El-Pardo,250000,3,1,87
Fuencarral-El-Pardo,430000,4,2,138
San-Blas,199000,1,1,57
Latina,145000,2,1,64
Latina,215000,2,1,74
Arganzuela,346050,4,2,101
Latina,240000,3,1,78
Puente-de-Vallecas,254000,2,2,83
Moratalaz,193200,3,1,74
Latina,269000,3,2,90
Moratalaz,200000,2,2,103
Usera,135000,2,1,53
Vicalvaro,153000,3,1,70
Hortaleza,925000,5,3,295
Barajas,385000,3,2,113
Latina,219900,3,1,95
Puente-de-Vallecas,140000,2,1,81
Puente-de-Vallecas,198500,3,2,140
San-Blas,440000,3,2,146
Centro,390000,2,1,96
Arganzuela,240000,3,1,54
Moncloa-Aravaca,1570000,2,2,209
Hortaleza,180000,3,1,65
Centro,360000,1,1,51
