district,price,rooms,bathrooms,size
Moncloa-Aravaca,339900,2,1,75
Moncloa-Aravaca,990000,3,3,157
Moncloa-Aravaca,930000,5,3,219
Moncloa-Aravaca,726000,2,2,95
Moncloa-Aravaca,685000,3,2,152
Moncloa-Aravaca,160000,2,1,70
Moncloa-Aravaca,1700000,7,7,533
Moncloa-Aravaca,2900000,6,7,982
Moncloa-Aravaca,394000,2,2,105
Moncloa-Aravaca,850000,1,1,198
Moncloa-Aravaca,1340000,4,3,300
Moncloa-Aravaca,185000,1,1,55
Moncloa-Aravaca,935000,5,2,224
Moncloa-Aravaca,590000,3,1,62
Moncloa-Aravaca,360000,5,2,106
Moncloa-Aravaca,985000,6,3,210
Moncloa-Aravaca,198000,2,1,49
Moncloa-Aravaca,840000,3,2,138
Moncloa-Aravaca,695000,3,2,152
Moncloa-Aravaca,280000,1,1,57
Moncloa-Aravaca,612500,2,2,105
Moncloa-Aravaca,270000,2,1,63
Moncloa-Aravaca,260000,3,1,93
Moncloa-Aravaca,283500,3,1,69
Moncloa-Aravaca,400000,3,1,78
Moncloa-Aravaca,275000,1,1,41
Moncloa-Aravaca,331000,1,1,48
Moncloa-Aravaca,1800000,1,5,285
Moncloa-Aravaca,124000,1,1,37
Latina,148900,3,1,66
Latina,385000,3,2,110
Latina,270000,3,2,146
Latina,189900,3,1,84
Latina,144900,3,1,72
Latina,165000,1,1,57
Latina,159900,3,1,71
Latina,239000,4,1,81
Latina,229000,4,1,66
Latina,199000,3,1,74
Latina,340000,2,2,92
Latina,300000,3,1,91
Latina,114900,3,1,63
Latina,320000,4,4,98
Latina,134900,2,1,66
Latina,271000,4,4,140
Latina,142000,3,1,80
Latina,290000,3,2,110
Latina,125500,2,1,70
Latina,176000,3,2,102
Latina,165000,3,1,3
Latina,189000,3,1,76
Latina,149000,2,1,69
Latina,610000,5,3,253
Latina,139000,2,1,70
Latina,129000,65,,
Latina,135000,3,1,75
Latina,199000,1,1,50
Carabanchel,185000,2,2,96
Carabanchel,360000,4,2,144
Carabanchel,150000,3,1,91
Carabanchel,285000,3,1,87
Carabanchel,187000,2,1,89
Carabanchel,260000,2,1,78
Carabanchel,219000,2,2,73
Carabanchel,170000,2,1,76
Carabanchel,150000,3,1,67
Carabanchel,169000,2,1,77
Carabanchel,395000,4,2,124
Carabanchel,186000,3,1,87
Carabanchel,138000,3,1,67
Carabanchel,180000,1,1,56
Carabanchel,280000,3,2,128
Carabanchel,123000,2,1,50
Carabanchel,124000,3,1,79
Carabanchel,241000,4,1,106
Carabanchel,110000,3,1,51
Carabanchel,212995,2,1,64
Carabanchel,154000,3,1,77
Carabanchel,130000,2,1,75
Carabanchel,165000,2,1,70
Carabanchel,499000,5,2,176
Carabanchel,174000,2,1,76
Carabanchel,150000,3,1,67
Usera,243000,3,1,91
Usera,139000,3,1,61
Usera,102000,1,46,
Usera,125000,2,45,
Usera,159000,3,2,70
Usera,112900,2,1,42
Usera,219900,3,2,82
Usera,134000,2,1,65
Usera,134000,2,1,65
Usera,135530,3,1,83
Usera,158600,1,1,52
Usera,267000,3,2,133
Usera,190000,3,1,80
Usera,145000,3,1,80
Usera,299000,3,1,110
Usera,122700,2,1,59
Usera,125000,2,1,55
Usera,130000,3,1,76
Usera,129000,2,2,56
Usera,126000,3,1,61
Usera,159900,2,1,75
Usera,125000,3,1,84
Usera,210000,4,2,130
Usera,110000,2,1,56
Fuencarral-El-Pardo,999000,4,4,238
Chamberi,1850000,3,4,201
Centro,275000,1,42,6
Moratalaz,179000,3,1,60
Ciudad-Lineal,449900,4,2,128
Moratalaz,185000,3,1,71
Hortaleza,355000,2,2,115
Vicalvaro,555000,3,3,177
Ciudad-Lineal,129000,1,37,
Vicalvaro,288000,2,2,88
Puente-de-Vallecas,133000,2,1,51
Arganzuela,179000,1,1,27
Villa-de-Vallecas,239900,1,1,65
Chamberi,450000,1,1,70
