district,price,rooms,bathrooms,size
Puente-de-Vallecas,132000,2,2,60
Puente-de-Vallecas,155000,2,1,85
Puente-de-Vallecas,146000,2,1,57
Puente-de-Vallecas,168000,1,1,59
Puente-de-Vallecas,105000,2,1,70
Puente-de-Vallecas,130000,2,1,60
Puente-de-Vallecas,115000,2,1,54
Puente-de-Vallecas,120000,1,1,34
Puente-de-Vallecas,79990,2,1,58
Puente-de-Vallecas,131000,2,1,61
Puente-de-Vallecas,120000,1,1,45
Puente-de-Vallecas,135000,3,1,70
Puente-de-Vallecas,112100,2,1,50
Puente-de-Vallecas,121000,1,1,40
Puente-de-Vallecas,79000,1,1,30
Puente-de-Vallecas,115000,1,1,36
Puente-de-Vallecas,134000,2,1,72
Puente-de-Vallecas,137000,2,1,50
Puente-de-Vallecas,118653,2,1,64
Moratalaz,319000,4,2,89
Moratalaz,99500,1,1,38
Moratalaz,200000,2,2,89
Moratalaz,209000,3,1,71
Moratalaz,385000,4,1,104
Moratalaz,193200,3,1,73
Moratalaz,275000,3,1,91
Moratalaz,210000,3,1,55
Moratalaz,448000,4,2,134
Moratalaz,225000,3,1,77
Moratalaz,590000,4,2,150
Moratalaz,260000,3,1,115
Moratalaz,195000,3,1,72
Moratalaz,235000,3,2,86
Moratalaz,175000,3,1,69
Moratalaz,314900,3,2,92
Moratalaz,267000,3,2,96
Moratalaz,163000,2,1,60
Moratalaz,145000,3,1,59
Villaverde,125000,3,1,62
Villaverde,124000,2,1,46
Villaverde,99990,1,1,40
Villaverde,98000,3,1,71
Villaverde,349000,3,2,118
Villaverde,237000,4,2,115
Villaverde,86050,3,1,60
Villaverde,77260,3,1,62
Villaverde,121630,2,1,52
Villaverde,130000,3,1,77
Villaverde,137500,3,1,67
Villaverde,149000,4,2,94
Villaverde,159500,4,1,91
Villaverde,362900,4,4,114
Villaverde,130000,3,1,65
Villaverde,199000,4,2,115
Villaverde,125000,3,1,65
Villaverde,105000,3,1,64
Villaverde,135000,3,1,72
Villaverde,165000,3,2,104
Villaverde,175000,3,1,88
Villa-de-Vallecas,259000,1,1,51
Villa-de-Vallecas,323000,3,2,151
Villa-de-Vallecas,250000,4,2,96
Villa-de-Vallecas,200000,3,1,112
Villa-de-Vallecas,363531,3,2,114
Villa-de-Vallecas,132000,1,1,32
Villa-de-Vallecas,394995,4,3,120
Villa-de-Vallecas,435995,4,4,147
Villa-de-Vallecas,337000,3,2,113
Villa-de-Vallecas,348000,3,2,115
Villa-de-Vallecas,274480,4,2,131
Villa-de-Vallecas,226162,3,2,104
Villa-de-Vallecas,218000,2,1,79
Villa-de-Vallecas,155000,3,1,90
Villa-de-Vallecas,250000,1,1,65
Villa-de-Vallecas,119000,3,1,49
Villa-de-Vallecas,1240000,5,3,385
Villa-de-Vallecas,119000,3,1,65
Villa-de-Vallecas,85000,1,49,
Villa-de-Vallecas,130000,1,2,80
Villa-de-Vallecas,346500,3,2,120
Villa-de-Vallecas,149000,2,1,55
Vicalvaro,388500,3,2,104
Vicalvaro,255000,2,2,86
Vicalvaro,309000,2,2,88
Vicalvaro,317500,2,2,88
Vicalvaro,340000,3,2,99
Vicalvaro,281000,2,2,83
Vicalvaro,384000,3,2,134
Vicalvaro,340000,2,2,98
Vicalvaro,355000,3,2,148
Vicalvaro,299500,3,2,106
Vicalvaro,137500,3,1,65
Vicalvaro,205000,2,2,90
Vicalvaro,239000,2,2,95
Vicalvaro,569000,4,3,186
Vicalvaro,557000,4,3,177
Vicalvaro,557000,3,3,177
Vicalvaro,555000,4,3,177
Vicalvaro,557000,3,3,177
Vicalvaro,569000,3,3,186
Vicalvaro,235500,2,1,61
Vicalvaro,347500,3,3,103
Vicalvaro,374000,2,2,95
Fuencarral-El-Pardo,440000,4,2,107
Ciudad-Lineal,113400,2,1,59
Carabanchel,247000,2,133,1
San-Blas,475000,5,3,165
Retiro,625000,4,3,150
Moncloa-Aravaca,2200000,4,349,6
Retiro,550000,3,2,119
Chamberi,684500,2,2,117
Ciudad-Lineal,274000,2,1,77
